X,Y,OBJECTID,id,d,e,datum,den,rok,mesic,zavineni,viditelnost,cas,hodina,mesic_t,doba,den_v_tydnu,alkohol,alkohol_vinik,hlavni_pricina,srazka,pricina,stav_vozovky,povetrnostni_podm,rozhled,misto_nehody,druh_komun,usmrceno_os,tezce_zran_os,lehce_zran_os,hmotna_skoda,smrt,tz,lz,smrt_dny,smrt_po,vek_skupina,chodec_pohlavi,kategorie_chodce,stav_chodce,chovani_chodce,situace_nehody,prvni_pomoc,nasledky_chodce,nazev,POINT_X,POINT_Y,GlobalID
16.5924686060001,49.22793053,788,60206130973,-598894.022,-1157002.676,2013/05/24 00:00:00+00,5,2013,5,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1530,15,květen,den,pátek,Nezjišťován,nezjišťováno,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,"zastávka tramvaje, autobusu, trolejbusu bez nástup. ostrůvku",komunikace sledovaná (ve vybraných městech),0,1,0,10000,0,1,0,1,,12-15,chlapec (do 15 let),dítě (do 15 let),"nepozornost, roztržitost",špatný odhad vzdálenosti a rychlosti vozidla,přecházení mimo přechod (2O a více metrů od přechodu),vozidlem RZP,těžké zranění,Brno-Královo Pole,16.5924686060001,49.22793053,{AF7B5B55-F6F3-49A7-94BE-E760D32DD8C6}
16.5691904490001,49.1940581420001,789,60206130990,-600986.297,-1160564.52,2013/05/27 00:00:00+00,1,2013,5,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",630,6,květen,den,pondělí,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,povrch mokrý,"na počátku deště, slabý déšť, mrholení apod.",dobré,přechod pro chodce,uzel (křižovatka sledovaná ve vybraných městech),0,0,1,10000,0,0,1,1,,,muž,muž,"nepozornost, roztržitost",špatný odhad vzdálenosti a rychlosti vozidla,vstup chodce na signál VOLNO,,lehké zranění,Brno-střed,16.5691904490001,49.1940581420001,{E22A7006-A738-4A93-AB7E-84200BECB12B}
16.5793655790001,49.247294884,790,60206131022,-599610.481,-1154758.999,2013/05/30 00:00:00+00,4,2013,5,řidičem motorového vozidla,"ve dne, zhoršená viditelnost vlivem povětrnostních podmínek (mlha, sněžení, déšť apod.)",1445,14,květen,den,čtvrtek,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,povrch mokrý,déšť,dobré,přechod pro chodce,uzel (křižovatka sledovaná ve vybraných městech),0,1,0,0,0,1,0,1,,71 a více,žena,žena,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",chůze po správné straně,vozidlem RZP,těžké zranění,Brno-Řečkovice a Mokrá Hora,16.5793655790001,49.247294884,{6EFA6632-7A96-4AE7-BA74-67BB26DB1BCA}
16.643494687,49.220951359,791,60206131026,-595282.318,-1158173.299,2013/05/31 00:00:00+00,5,2013,5,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",840,8,květen,den,pátek,Ne,ne,nesprávný způsob jízdy,srážka s chodcem,řidič se plně nevěnoval řízení vozidla,povrch mokrý,"na počátku deště, slabý déšť, mrholení apod.",dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),0,0,1,0,0,0,1,1,,71 a více,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,žádné z uvedených,přecházení těsně před nebo za vozidlem parkujícím,vozidlem RZP,lehké zranění,Brno-Maloměřice a Obřany,16.643494687,49.220951359,{EE6617FA-809F-437C-8AF6-9B40C3055258}
16.603273684,49.201120388,792,60206131030,-598432.31,-1160051.449,2013/05/31 00:00:00+00,5,2013,5,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1114,11,květen,den,pátek,Nezjišťován,nezjišťováno,nedání přenosti v jízdě,srážka s domácím zvířetem,chodci na vyznačeném přechodu,povrch mokrý,neztížené,dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),0,0,0,1000,0,0,0,1,,33-44,žena,žena,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",vstup chodce na signál VOLNO,nebylo třeba poskytnout,bez zranění,Brno-střed,16.603273684,49.201120388,{F7D566F5-C51C-4458-94A5-E230D1A40764}
16.5345765480001,49.2268032810001,793,60206131031,-603099.218,-1156671.613,2013/05/31 00:00:00+00,5,2013,5,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1305,13,květen,den,pátek,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,"zastávka tramvaje, autobusu, trolejbusu bez nástup. ostrůvku",komunikace sledovaná (ve vybraných městech),0,0,1,1000,0,0,1,1,,7-11,chlapec (do 15 let),dítě (do 15 let),dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"náhlé vstoupení do vozovky z chodníku, krajnice",přecházení mimo přechod (2O a více metrů od přechodu),vozidlem RZP,lehké zranění,Brno-Bystrc,16.5345765480001,49.2268032810001,{340728B5-C20F-47ED-BED4-648ECC6F7868}
16.5825596830001,49.175003003,794,60206131034,-600246.114,-1162776.294,2013/05/31 00:00:00+00,5,2013,5,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1300,13,květen,den,pátek,Ne,ne,nezaviněno řidičem,jiný druh nehody,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),0,1,0,0,0,1,0,1,,61-70,žena,žena,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,žádné z uvedených,přecházení po vyznačeném přechodu,vozidlem RZP,těžké zranění,Brno-Bohunice,16.5825596830001,49.175003003,{96AA18DB-B0AB-4238-801D-C96A0C10C317}
16.553405642,49.2180223340001,795,60206131038,-601841.592,-1157800.205,2013/05/31 00:00:00+00,5,2013,5,chodcem,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",2300,23,květen,noc,pátek,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),1,0,0,10000,1,0,0,1,,45-60,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,žádné z uvedených,vstup chodce na signál STŮJ,vozidlem RZP,usmrcení,Brno-Komín,16.5534194300001,49.217939261,{0DA42401-7ED5-40FD-8CAD-53F7CDB25E59}
16.6043678610001,49.1922787660001,796,60206131043,-598458.773,-1161037.536,2013/06/01 00:00:00+00,6,2013,6,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1750,17,červen,den,sobota,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,povrch mokrý,déšť,dobré,v blízkosti přechodu pro chodce (do vzdálenosti 20 m),komunikace sledovaná (ve vybraných městech),0,0,1,1000,0,0,1,1,,7-11,dívka (do 15 let),dítě (do 15 let),dobrý - žádné nepříznivé okolnosti nebyly zjištěny,náhlé vstoupení do vozovky z nástupního nebo dělícího ostrůvku,přecházení mimo přechod (2O a více metrů od přechodu),vozidlem RZP,lehké zranění,Brno-střed,16.6043678610001,49.1922787660001,{D1811757-BF33-4DC7-BC26-9E8C5E27348A}
16.5950456780001,49.184208508,797,60206131049,-599230.873,-1161856.649,2013/06/03 00:00:00+00,1,2013,6,chodcem,"ve dne, zhoršená viditelnost vlivem povětrnostních podmínek (mlha, sněžení, déšť apod.)",945,9,červen,den,pondělí,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,povrch mokrý,déšť,dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),0,0,1,10000,0,0,1,1,,61-70,žena,žena,nezjištěno,náhlé vstoupení do vozovky z nástupního nebo dělícího ostrůvku,přecházení po vyznačeném přechodu,vozidlem RZP,lehké zranění,Brno-střed,16.5950456780001,49.184208508,{4412BC64-8B62-4FE0-90C9-6D7B74797148}
