ObjectId,platnostod,platnostdo,datum_exportu,GlobalID,SHAPE_Length,SHAPE_Area
2112,2020/08/26 00:00:00+00,2020/08/26 00:00:00+00,2022/03/31 00:00:00+00,{72AE73A7-EC97-46D8-87D7-E62917DC312D},0.00050723092723373,6.41598475882278e-09
2113,2020/08/26 00:00:00+00,2020/09/01 00:00:00+00,2022/03/31 00:00:00+00,{2A965ED1-9662-4919-BF9F-DC33EA89D134},0.000591991148914408,7.26488626388331e-09
2114,2020/08/26 00:00:00+00,2020/08/26 00:00:00+00,2022/03/31 00:00:00+00,{4A077E03-7E9C-464E-B714-60360C51592D},0.00026462455657489,2.77114865884009e-09
2115,2020/08/26 00:00:00+00,2020/08/26 00:00:00+00,2022/03/31 00:00:00+00,{1A41527F-1CE4-4F86-9F35-6D5A34CE70D2},0.000489044497243845,5.8360100854344e-09
2116,2020/01/13 00:00:00+00,2020/01/14 00:00:00+00,2022/03/31 00:00:00+00,{E7189E31-4BEA-4CD2-B267-D18BF6742C25},0.000243024842810425,3.56846171006392e-09
2117,2020/08/26 00:00:00+00,2020/08/31 00:00:00+00,2022/03/31 00:00:00+00,{2A2F1BCF-698A-4767-9CCF-297FF72C9EDA},0.000627570821764524,1.57165761308225e-08
2118,2020/08/26 00:00:00+00,2020/12/17 00:00:00+00,2022/03/31 00:00:00+00,{3116AAFC-BC0F-4A5C-9070-2102D61F6458},0.0012076567504574,1.5422551916944e-08
2119,2020/08/26 00:00:00+00,2020/08/26 00:00:00+00,2022/03/31 00:00:00+00,{76571C3F-F453-4177-8B47-501E7FF514CC},0.000502161521874934,7.51358948373225e-09
2120,2020/08/26 00:00:00+00,2020/08/26 00:00:00+00,2022/03/31 00:00:00+00,{A1A088EB-4F7B-4325-9FF3-8D90C61FDDD2},0.000402839257616532,5.54879636949175e-09
2121,2020/08/26 00:00:00+00,2020/08/26 00:00:00+00,2022/03/31 00:00:00+00,{87BD6B45-646B-4632-8F40-58FD3DB7C9A2},0.000248242344238124,2.53731997678244e-09
2122,2020/10/05 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{31092481-A6A3-408C-A7D8-72F1A379EA6B},0.000786850635673086,9.1101844881221e-09
2123,2020/10/05 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{E7195CAB-375A-41D1-BD7B-806E18060D05},0.000690695521050487,5.98815982214932e-09
2124,2020/10/05 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{359D25C3-D5E6-4401-87D8-08C711804B00},0.000498454315806652,5.22115343884774e-09
2125,2020/10/05 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{4ABD8EB1-4647-45DA-B810-C989EEB5837A},0.000525829917368247,1.2176772975757e-08
2126,2020/10/05 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{456646AD-FE7B-4C0F-B765-21C10357053A},0.000798847461108539,8.32901366358281e-09
2127,2020/10/05 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{4D420BAB-ED6E-47DA-A1B5-0CD1E47C19AE},0.00131292094694782,4.05238656109846e-08
2128,2020/10/05 00:00:00+00,2020/10/05 00:00:00+00,2022/03/31 00:00:00+00,{0CE13B4C-F224-4825-AB46-455EEF8746A5},0.000232884070738194,2.59153550937112e-09
2129,2020/10/05 00:00:00+00,2020/10/05 00:00:00+00,2022/03/31 00:00:00+00,{339F43D7-3F19-417F-AD4F-EF82235DFC45},0.000233606433004991,2.59582245416746e-09
2130,2020/10/05 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{B64CEABE-6081-40A8-B3A8-C854559598E1},0.000778098774176241,9.69553671662255e-09
2131,2020/10/05 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{2C63484E-2B45-4ED4-8541-33CF17940BB2},0.002730079240578,3.60238878099802e-08
2132,2020/10/05 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{AD222800-6B6F-4BF2-90ED-C1777144B361},0.000500797253814284,1.15879728049903e-08
2133,2020/10/05 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{68518CFD-48A2-4E5E-8068-6CA9E377EFA0},0.00062620588937681,1.39755045240488e-08
2134,2020/10/05 00:00:00+00,2020/10/05 00:00:00+00,2022/03/31 00:00:00+00,{BEC1D6BC-593A-4AD5-8490-1C473F435B76},0.000232479588653939,3.19182477465858e-09
2135,2020/10/05 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{3FFFBC65-C2B8-47F6-8F5E-0D67281144E8},0.0003951840723453,7.05259369202484e-09
2136,2020/10/05 00:00:00+00,2020/10/05 00:00:00+00,2022/03/31 00:00:00+00,{CE8A4355-602D-4217-A10E-CAF7C8EFD62D},0.000144567706509068,9.37385878600087e-10
2137,2020/10/05 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{9308FE15-F8BE-4BBB-AE18-2DBEA324B233},0.00315538196311831,3.76307267514998e-08
2138,2020/10/05 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{1693AEB3-1B3D-4907-9DB1-411FF6185C7C},0.00138278895999723,1.62144126955402e-08
2139,2020/10/05 00:00:00+00,2020/10/05 00:00:00+00,2022/03/31 00:00:00+00,{C9C6757B-E4DE-4C54-A470-F8661013255D},0.000832405130628612,9.51713644193413e-09
2140,2020/10/05 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{4939A81B-975C-4602-88E3-2C080EDD206B},0.00113585227335533,1.23857379195108e-08
2141,2020/10/05 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{94441B96-B854-4E07-8F60-0A65E83731C9},0.00257301258955432,2.60206825879096e-08
2142,2020/10/05 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{4A15AE89-F557-4400-A6F5-F7A31D7B150A},0.000693688449038126,1.39380612367204e-08
2143,2020/10/05 00:00:00+00,2020/10/05 00:00:00+00,2022/03/31 00:00:00+00,{6C3D57C2-C974-4B7A-9C13-25D6A48366E7},0.000184331290176815,1.92518726120457e-09
2144,2020/10/05 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{C1455067-D588-4C4A-A33C-12DE972F416E},0.000697221741794443,1.40093538160333e-08
2145,2020/10/05 00:00:00+00,2020/10/05 00:00:00+00,2022/03/31 00:00:00+00,{F9DC9F8D-E524-4A54-8562-B3391FE451AE},0.000185215647578949,1.94322472042489e-09
2146,2020/10/05 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{9B309181-6A53-4071-A6D4-3339F9FD025C},0.000361582031090368,3.49595066330165e-09
2147,2020/10/05 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{03A228CC-2D18-4AE1-A2A8-219DD8D7ACCF},0.000188791097003594,1.49097084708536e-09
2148,2020/10/05 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{8C24D233-8BBE-4333-A284-6B412ED2A47F},0.000771602107702148,7.87342105562086e-09
