OID_,ObjectId,ogcfid,typ_opatre,rok_realiz,delka,datum_expo,GlobalID,SHAPE_Leng,point_x1,point_x2,point_y1,point_y2
454,455,139,Stezka pro chodce a cyklisty (nedělená) - C9,2015,506.859985351562500,04/11/2022 00:00:00,{D39B4018-1CB7-4AD9-8A33-58D5056229FA},0.005586420478247,16.614080384000001,16.618184421999999,49.178460246999997,49.174936551000002
455,456,138,Stezka pro chodce a cyklisty (nedělená) - C9,2015,562.429992675781250,04/11/2022 00:00:00,{E032AE7F-0295-4685-84CE-3F4FAE3A9E42},0.006452740163279,16.607601401000000,16.612849724000000,49.182802139000003,49.179261326000002
456,457,137,Stezka pro chodce a cyklisty (nedělená) - C9,1997,1044.560058593750000,04/11/2022 00:00:00,{0C688756-C2DA-4437-BD1E-8C77BC71D419},0.012144332975253,16.607515212999999,16.617630482999999,49.183327278999997,49.176919388999998
457,458,237,Piktogramový koridor pro cyklisty - V20,2010,261.980010986328125,04/11/2022 00:00:00,{5F2CD519-EDFF-4436-A760-DB65DC160B90},0.003492600313164,16.624841655000001,16.628253331000000,49.233625898000000,49.234373288000000
458,459,136,Stezka pro chodce a cyklisty (nedělená) - C9,1997,173.160003662109375,04/11/2022 00:00:00,{EB9FDAC4-ACE0-4615-BB78-DFFEA77ACE67},0.002364450470516,16.604699362000002,16.607055291999998,49.183468120000001,49.183360076000000
459,460,135,Stezka pro chodce a cyklisty (nedělená) - C9,2003,149.529998779296875,04/11/2022 00:00:00,{C0D086C0-F704-46F1-90DA-D6538705135F},0.001891128614192,16.602501687000000,16.604259207999998,49.184175492999998,49.183524920000004
460,461,134,Stezka pro chodce a cyklisty (nedělená) - C9,2015,423.459991455078125,04/11/2022 00:00:00,{5A2649B9-CCAC-4C6A-86BA-09C74A055B20},0.005425132651022,16.602109012000000,16.607116776000002,49.183823425999996,49.182817184000001
461,462,133,Stezka pro chodce a cyklisty (nedělená) - C9,1998,536.289978027343750,04/11/2022 00:00:00,{74911707-F25F-444B-A0BB-9FB737D9EEAD},0.006810625656350,16.595403708999999,16.601755344000001,49.186256915000001,49.184043373999998
462,463,132,Stezka pro chodce a cyklisty (nedělená) - C9,1998,142.169998168945312,04/11/2022 00:00:00,{91F6F64D-9184-4539-AB0E-59CFA3980B51},0.001810651372157,16.591486858000000,16.593056207000000,49.185656492000000,49.186118835000002
463,464,342,Vjezd cyklistům povolen,2015,82.660003662109375,04/11/2022 00:00:00,{DDBF7404-8739-4FED-A515-B389EAEC1F0B},0.000790408548719,16.604928884000000,16.605256753999999,49.198244879000001,49.197541983999997
464,465,131,Stezka pro cyklisty - C8,2013,151.470001220703125,04/11/2022 00:00:00,{281F9B18-6846-444A-A3B8-97FFD19C3A9E},0.001804667812170,16.590185903999998,16.588621867000001,49.188138875999996,49.187260610000003
465,466,130,Stezka pro cyklisty - C8,2013,210.000000000000000,04/11/2022 00:00:00,{CD34A1A0-ACAF-459F-A4E6-FD5D4D071FCA},0.002398721076761,16.588486652000000,16.586528163000001,49.187166282000000,49.185781446000000
466,467,27,Piktogramový koridor pro cyklisty - V20,2016,48.770000457763672,04/11/2022 00:00:00,{989F0347-F818-492B-839F-C58922B8C314},0.000585585964192,16.669198672000000,16.668684801000001,49.182190661000000,49.182471458999999
467,468,96,Stezka pro chodce a cyklisty (nedělená) - C9,2001,909.559997558593750,04/11/2022 00:00:00,{D2288342-D86D-4DC9-AB18-D22CA9DB2DFA},0.008454029659557,16.566901721000001,16.566593440999998,49.193562620999998,49.201435054000001
468,469,95,Piktogramový koridor pro cyklisty - V20,2001,39.909999847412109,04/11/2022 00:00:00,{4CD7BECE-E59F-44C3-B6DE-EA05989B67B8},0.000530217883277,16.560121665000000,16.560638403999999,49.194078202999997,49.193959612999997
469,470,94,Stezka pro chodce a cyklisty (dělená) - C10,1998,165.000000000000000,04/11/2022 00:00:00,{CA1CDA66-6428-4138-B740-7136EEF7BFB0},0.002156905351760,16.565434625999998,16.567507291999998,49.192952628999997,49.193549372000000
470,471,307,Stezka pro chodce a cyklisty (nedělená) - C9,2017,63.069999694824219,04/11/2022 00:00:00,{692486BF-ABA8-440C-96BB-A7611CEE14C2},0.000790403483253,16.642464450999999,16.643184693999999,49.202059361000003,49.202288531000001
471,472,311,Stezka pro chodce a cyklisty (nedělená) - C9,2013,62.740001678466797,04/11/2022 00:00:00,{BFD8B2B0-BDB7-4146-8443-77C857E1CE54},0.000841090731671,16.621732583000000,16.622558797000000,49.169294772000001,49.169452264999997
472,473,339,Vjezd cyklistům povolen,2012,235.710006713867188,04/11/2022 00:00:00,{EEBC80A6-1FD8-40CC-99BA-63FB3E0D3C70},0.002958359441484,16.603745820000000,16.601054487999999,49.196273593000001,49.196907859000000
473,474,203,Stezka pro chodce a cyklisty (nedělená) - C9,2000,566.190002441406250,04/11/2022 00:00:00,{D70F04BA-4727-4DD9-B18D-BB12B911980B},0.005246707703788,16.625920717000000,16.626155059999999,49.161115279999997,49.156150545000003
474,475,200,Stezka pro chodce a cyklisty (nedělená) - C9,2000,43.040000915527344,04/11/2022 00:00:00,{93444958-25AF-43E0-B65E-D3B6D5918F2D},0.000392325917623,16.653264733000000,16.653180480000000,49.228736281000003,49.228353186000000
475,476,63,Stezka pro chodce a cyklisty (dělená) - C10,2007,537.330017089843750,04/11/2022 00:00:00,{836AB7A4-1DEC-49F2-9A74-502B97DDA959},0.007345437348820,16.567905638999999,16.575232119999999,49.178118402999999,49.177641149000003
476,477,62,Stezka pro chodce a cyklisty (dělená) - C10,2007,102.050003051757812,04/11/2022 00:00:00,{C727381D-A251-4C55-8122-9DA77D3D7DDB},0.000941525845074,16.566942440999998,16.566906856999999,49.176506101999998,49.175619425000001
477,478,60,Piktogramový koridor pro cyklisty - V20,2010,30.430000305175781,04/11/2022 00:00:00,{24B18DDE-BEBD-46BD-B61A-62582B76EFFE},0.000402915710688,16.562695518000002,16.562304501000000,49.178227595000003,49.178220910000000
478,479,56,Vyhrazený jízdní pruh pro cyklisty - V14,2010,27.879999160766602,04/11/2022 00:00:00,{7EFA55F4-57F4-4536-9651-07731D95B1E7},0.000379614526870,16.564038384000000,16.564415865000001,49.178225357999999,49.178185380000002
479,480,55,Piktogramový koridor pro cyklisty - V20,2010,127.930000305175781,04/11/2022 00:00:00,{2522FA49-E217-4DBB-BA62-B0755D3B50CB},0.001716835570234,16.562347364000001,16.564006988999999,49.178133735000003,49.178227962000001
480,481,356,Vjezd cyklistům povolen,2015,228.919998168945312,04/11/2022 00:00:00,{E4792178-4999-484D-8530-F08A51F3D5D8},0.002182230533136,16.607796467000000,16.608747335000000,49.196241207999996,49.194281230000001
481,482,430,Vjezd cyklistům povolen,2018,395.519989013671875,04/11/2022 00:00:00,{E0DAE8B8-B26E-4CBE-9756-DE07838B9FCC},0.003610812513442,16.643442260000000,16.643150777999999,49.132890344000003,49.136403411000003
482,483,2,Stezka pro chodce a cyklisty (dělená) - C10,2008,260.130004882812500,04/11/2022 00:00:00,{48B1B7C9-82A5-4027-BE6D-427587101FCD},0.003278617089439,16.578044043999999,16.581058464000002,49.230259378000000,49.229110380000002
483,484,435,Vjezd cyklistům povolen,2015,176.369995117187500,04/11/2022 00:00:00,{04A9FAE4-FC67-43F8-BB0A-B683660CCCA3},0.001603147254482,16.609057453999998,16.608825773000000,49.196963660999998,49.195390635000003
484,485,434,Vjezd cyklistům povolen,2018,356.890014648437500,04/11/2022 00:00:00,{625C1172-ECC0-4843-85F0-2E06113C38CF},0.004063220515427,16.668299873999999,16.664997926000002,49.137030318000001,49.139397786000004
485,486,379,Vjezd cyklistům zakázán,2015,50.540000915527344,04/11/2022 00:00:00,{3905C6AB-4AE7-4F1E-8815-BAA8080A5CFA},0.000599390619174,16.606505263999999,16.607018566000001,49.195944570000002,49.196242255000001
486,487,54,Vyhrazený jízdní pruh pro cyklisty - V14,2010,1209.339965820312500,04/11/2022 00:00:00,{75A59205-4848-436F-AC24-7BAB4255D6AC},0.014840723352999,16.549305190999998,16.562242338000001,49.180006308999999,49.178106837999998
487,488,53,Piktogramový koridor pro cyklisty - V20,2010,89.989997863769531,04/11/2022 00:00:00,{4E037D79-7DF6-4411-A41E-C9483E45414C},0.001204730265274,16.547446539999999,16.548628417000000,49.179769907999997,49.180002766999998
488,489,52,Vyhrazený jízdní pruh pro cyklisty - V14,2010,72.250000000000000,04/11/2022 00:00:00,{E76DF848-5014-49EC-8509-37D327C119B1},0.000961549714240,16.546338408000000,16.547277116000000,49.179525730000002,49.179733913000000
489,490,87,Ostatní,2014,46.569999694824219,04/11/2022 00:00:00,{B980886D-91B4-4E23-B6A9-AED0EA120A0B},0.000421869029297,16.595107709000001,16.595175956999999,49.184297647999998,49.184713957000000
490,491,176,Stezka pro cyklisty - C8,2002,144.300003051757812,04/11/2022 00:00:00,{8FA40D39-93A4-4555-9391-6A87910E3F71},0.001929659592927,16.595410128000001,16.593520053999999,49.222411565000002,49.222022721999998
491,492,175,Stezka pro cyklisty - C8,2002,88.709999084472656,04/11/2022 00:00:00,{D0CEC976-B334-4CCA-81C4-E92986F43795},0.001185858775054,16.593189984999999,16.592028735000000,49.221954248000003,49.221713930999996
492,493,174,Stezka pro cyklisty - C8,2002,236.910003662109375,04/11/2022 00:00:00,{1E23CFF8-7FFA-47FD-BDC2-833D58C5B40D},0.003140180898551,16.588504106999999,16.591556398000002,49.221005800000000,49.221616515999997
493,494,196,Stezka pro chodce a cyklisty (nedělená) - C9,2001,131.179992675781250,04/11/2022 00:00:00,{DA9FEA73-4CA7-4250-8783-4968697F91DC},0.001697955568665,16.591916982000001,16.593531952999999,49.207593576999997,49.208095342999997
494,495,31,Piktogramový koridor pro cyklisty - V20,2017,322.470001220703125,04/11/2022 00:00:00,{EF5C55FC-1707-4BAB-8956-7AAA771AE337},0.004309339155859,16.653685919000001,16.649465047000000,49.186077138000002,49.186944320999999
495,496,30,Vyhrazený jízdní pruh pro cyklisty - V14,2017,299.480010986328125,04/11/2022 00:00:00,{41C23EE0-92BA-43F4-ABA4-0D64C6800F14},0.004002254289245,16.649465047000000,16.653385256000000,49.186944320999999,49.186139611000002
496,497,23,Vyhrazený jízdní pruh pro cyklisty - V14,2012,521.349975585937500,04/11/2022 00:00:00,{635EBF6A-82C4-4703-951A-A85BF32038F7},0.007004935378895,16.687186528000002,16.694074025999999,49.207304274999998,49.206783467000001
497,498,21,Stezka pro chodce a cyklisty (nedělená) - C9,2006,129.429992675781250,04/11/2022 00:00:00,{DD72C129-78C9-4004-8085-8E7B96D28F35},0.001336378827990,16.677588681000000,16.678444721000002,49.167772265000004,49.168780904999998
